Project,Variable,Port
affine,AFFINE_PORT,3010
airtable,AIRTABLE_PORT,8081
arcane,APP_PORT,3552
caddy-proxy-manager,BACKEND_PORT,3000
caddy-proxy-manager,CADDYMANAGER_UI_PORT,8080
gitlab,GITLAB_HTTP_PORT,8929
gitlab,GITLAB_SSH_PORT,8922
insforge,DENO_PORT,7133
insforge,INSFORGE_AUTH_PORT,7132
insforge,INSFORGE_PORT,7130
insforge,INSFORGE_UI_PORT,7131
insforge,POSTGREST_PORT,5430
n8n,N8N_PORT,5678
opencloud,OPENCLOUD_PORT,9200
supabase,KONG_PORT,8080
supabase,POSTGRES_PORT,54322
supabase,STUDIO_PORT,3030
windmill,WINDMILL_LSP_PORT,2525
windmill,WINDMILL_PORT,8000
